strategy,tier,mean_sensitivity,n_biases
CoT,low,16.937083685260287,8
IMP,low,15.17449751314431,8
Ø,low,15.034182141744942,8
IsD,low,11.886125881967313,8
BW,low,11.568731563532515,8
ProbeAX,low,11.333047061388626,8
2sAX,low,11.26719125215493,8
sAX,low,11.007096307195441,8
BW+IsD,low,10.55488297594662,8
sAX+BW,low,10.107937188668098,8
2sAX+BW,low,9.559381350127648,8
sAX+BW+IsD,low,8.417288981272877,8
CoT,mid-low,18.823516115467765,8
IMP,mid-low,17.221375564784882,8
Ø,mid-low,16.367164439191335,8
2sAX,mid-low,14.385177724599203,8
IsD,mid-low,14.200980790615542,8
BW,mid-low,13.883077578042734,8
2sAX+BW,mid-low,13.194445558116147,8
BW+IsD,mid-low,13.18773919968089,8
sAX,mid-low,12.321381310940517,8
sAX+BW,mid-low,11.894877196252462,8
sAX+BW+IsD,mid-low,11.378589863400013,8
ProbeAX,mid-low,10.43318891464793,8
CoT,mid-high,17.351120582669072,8
IMP,mid-high,15.411972765343743,8
Ø,mid-high,14.795046798003474,8
2sAX,mid-high,14.32300546634097,8
IsD,mid-high,13.047878056362185,8
2sAX+BW,mid-high,12.773282091456116,8
BW,mid-high,12.68094379820572,8
BW+IsD,mid-high,12.039839979381583,8
sAX,mid-high,11.786539257723536,8
sAX+BW,mid-high,11.332822612611915,8
sAX+BW+IsD,mid-high,10.819269800660882,8
ProbeAX,mid-high,9.656262986486757,8
CoT,high,22.965977982982903,8
IMP,high,21.404409640377562,8
Ø,high,20.38072981351253,8
2sAX,high,17.9651109516755,8
IsD,high,17.260555008689135,8
BW,high,17.040393194652662,8
2sAX+BW,high,16.68942273742622,8
sAX,high,16.654749597497652,8
BW+IsD,high,15.645472874521676,8
sAX+BW,high,15.4371933527249,8
sAX+BW+IsD,high,14.985050560583286,8
ProbeAX,high,14.438507508225094,8
