strategy,baseline,alternative,n_units_aligned,u_stat,p_raw,p_fdr,r_rb,mean_display_vals,median_display_vals
Ø,,two-sided,,,,,0.0,15.034182141744944,8.072390572390573
2sAX,Ø,two-sided,8.0,19.0,0.19487179487179485,0.35726495726495716,0.40625,11.26719125215493,5.890504879066558
2sAX+BW,Ø,two-sided,8.0,18.0,0.1605283605283605,0.3531623931623931,0.4375,9.559381350127648,4.983528474231633
BW,Ø,two-sided,8.0,22.0,0.32820512820512815,0.45128205128205123,0.3125,11.568731563532516,6.2834551276158965
BW+IsD,Ø,two-sided,8.0,18.0,0.1605283605283605,0.3531623931623931,0.4375,10.554882975946619,5.829490557751427
CoT,Ø,two-sided,8.0,37.0,0.6453768453768453,0.6453768453768453,-0.15625,16.937083685260287,10.054713804713803
IMP,Ø,two-sided,8.0,37.0,0.6453768453768453,0.6453768453768453,-0.15625,15.17449751314431,8.583311735115384
IsD,Ø,two-sided,8.0,21.0,0.2786324786324786,0.43785103785103774,0.34375,11.886125881967313,6.42387027649977
ProbeAX,Ø,two-sided,8.0,23.0,0.3822843822843822,0.46723646723646717,0.28125,11.333047061388626,6.772912047302292
sAX,Ø,two-sided,8.0,18.0,0.1605283605283605,0.3531623931623931,0.4375,11.007096307195441,3.983585858585859
sAX+BW,Ø,two-sided,8.0,13.0,0.04988344988344988,0.27435897435897433,0.59375,10.107937188668098,3.4885260514551133
sAX+BW+IsD,Ø,two-sided,8.0,12.0,0.037917637917637914,0.27435897435897433,0.625,8.417288981272877,3.6647599605764416
