strategy,baseline,alternative,n_units_aligned,u_stat,p_raw,p_fdr,r_rb,mean_display_vals,median_display_vals
Ø,,two-sided,,,,,0.0,16.367164439191335,11.429573614636027
2sAX,Ø,two-sided,8.0,24.0,0.4418026418026417,0.7012345679012344,0.25,14.385177724599203,8.353798449612404
2sAX+BW,Ø,two-sided,8.0,22.0,0.32820512820512815,0.7012345679012344,0.3125,13.194445558116147,6.714759521360449
BW,Ø,two-sided,8.0,25.0,0.5053613053613053,0.7012345679012344,0.21875,13.883077578042734,8.61070351913375
BW+IsD,Ø,two-sided,8.0,26.0,0.5737373737373737,0.7012345679012344,0.1875,13.187739199680891,7.680395398438164
CoT,Ø,two-sided,8.0,37.0,0.6453768453768453,0.7099145299145297,-0.15625,18.823516115467765,15.177433247200689
IMP,Ø,two-sided,8.0,36.0,0.7209013209013208,0.7209013209013208,-0.125,17.221375564784882,12.351856053444257
IsD,Ø,two-sided,8.0,26.0,0.5737373737373737,0.7012345679012344,0.1875,14.200980790615542,8.628643333948567
ProbeAX,Ø,two-sided,8.0,20.0,0.23449883449883446,0.6448717948717948,0.375,10.43318891464793,5.639126886984903
sAX,Ø,two-sided,8.0,20.0,0.23449883449883446,0.6448717948717948,0.375,12.321381310940517,6.050382400881378
sAX+BW,Ø,two-sided,8.0,20.0,0.23449883449883446,0.6448717948717948,0.375,11.894877196252462,5.2750577995376045
sAX+BW+IsD,Ø,two-sided,8.0,19.0,0.19487179487179485,0.6448717948717948,0.40625,11.378589863400013,5.693778815966656
